RELATÓRIO DE EVOLUÇÃO - Procedimentos Odontológicos preventivos
Equipes: eSB
Competências: ABR/25, AGO/25, DEZ/25

==================================================
RESUMO DAS VARIAÇÕES
==================================================
ABR_25: Média de pontuação = 47.93
AGO_25: Média de pontuação = 47.70
DEZ_25: Média de pontuação = 46.35

% de crescimento entre 2025-04 e 2025-08: 9.79%
% de crescimento entre 2025-08 e 2025-12: 8.86%

Crescimento total médio: 9.03%

==================================================
TOP 5 - MAIOR CRESCIMENTO
==================================================
  ESB 05 - UBS 02 TAG (INE: 0002456397): 613.08%
  ESB 01 - UBS 06 TAG (INE: 0001923544): 605.66%
  ESB AMIZADE (INE: 0002203081): 275.38%
  ESB 02 - UBS 05 SAM (INE: 0002064243): 246.64%
  ESB 01 - UBS 02 TAG (INE: 0001918621): 174.06%

==================================================
TOP 5 - MENOR CRESCIMENTO
==================================================
  ESB 02 - UBS 03 REC (INE: 0001925172): -100.00%
  ESB CRISTAL (INE: 0002062666): -100.00%
  ESB 01 - UBS 12 SAM (INE: 0001924753): -100.00%
  ESB 03 UBS 02 GUARA (INE: 0002117479): -100.00%
  ESB DELTA (INE: 0002447584): -100.00%


==================================================
DADOS COMPLETOS
==================================================

ESTABELECIMENTO;INE;NOME DA EQUIPE;PONT_ABR_25;PONT_AGO_25;PONT_DEZ_25;VAR_1_2_%;VAR_2_3_%;CRESCIMENTO_TOTAL_%
UBS 5 NOVA BETANIA SAO SEBASTIAO;0001910361;ESB NOVA BETANIA SSB;49.28;56.41;45.05;14.47;-20.14;-8.58
UBS 07 TAGUATINGA;0002064065;ESB 02 - UBS 07 TAG;10.97;12.88;12.31;17.41;-4.43;12.22
UBS 4 GAMA;0002256797;1231/67;100.0;100.0;0.0;0.0;-100.0;-100.0
UBS 11 CEILANDIA;0002019094;ESB 32;100.0;57.24;62.04;-42.76;8.39;-37.96
UBS 1 SOBRADINHO;0002062607;ESB TUCANO - SOB;20.34;22.22;12.5;9.24;-43.74;-38.54
UBS 20 PLANALTINA;0002274140;ESB OMEGA;72.22;100.0;100.0;38.47;0.0;38.47
UBS 13 SAO JOSE PLANALTINA;0002177013;ESB UOM;68.6;63.64;46.79;-7.23;-26.48;-31.79
UBS 16 CEILANDIA;0002272865;ESB 54;100.0;62.07;55.77;-37.93;-10.15;-44.23
UBS 03 SAMAMBAIA;0002536978;ESB 03 - UBS 03 SAM;0.0;0.0;61.36;0.0;100.0;100.0
UBS 10 CEILANDIA;0002019051;ESB 30;48.23;66.3;56.03;37.47;-15.49;16.17
UBS 01 SAMAMBAIA;0002138468;ESB 01 - UBS 01 SAM;45.31;33.76;46.24;-25.49;36.97;2.05
UBS 12 PONTE ALTA GAMA;0001881329;1212/53;68.16;86.9;71.79;27.49;-17.39;5.33
UBS 8 CEILANDIA;0002018993;ESB 26;48.97;55.72;58.64;13.78;5.24;19.75
UBS 8 VALE DO AMANHECER PLANALTINA;0002063050;ESB UNIVERSO;75.93;62.21;78.35;-18.07;25.94;3.19
UBS 04 SAMAMBAIA;0001923870;ESB 02 - UBS 04 SAM;66.33;44.27;44.93;-33.26;1.49;-32.26
UBS 02 GUARA;0002117452;ESB 02 UBS 02 GUARA;40.19;61.32;58.62;52.58;-4.4;45.86
UBS 2 CEILANDIA;0002018659;ESB 10;100.0;45.45;34.29;-54.55;-24.55;-65.71
UBS 11 CEILANDIA;0002019116;ESB 34;61.44;52.38;70.11;-14.75;33.85;14.11
UBS 07 TAGUATINGA;0002064073;ESB 03 - UBS 07 TAG;42.67;48.26;43.0;13.1;-10.9;0.77
UBS 9 CEILANDIA;0002272814;ESB 47;100.0;100.0;60.47;0.0;-39.53;-39.53
UBS 8 CEILANDIA;0002018985;ESB 25;69.72;63.11;60.96;-9.48;-3.41;-12.56
UBS 5 GRANJA DO TORTO;0002536269;ESB CANTINHO DA SAUDE;0.0;61.54;28.38;100.0;-53.88;100.0
UBS 5 GAMA;0001880632;1206/48;69.57;43.92;66.67;-36.87;51.8;-4.17
