RELATÓRIO DE EVOLUÇÃO - Hipertensão
Equipes: eAP, eSF
Competências: ABR/25, AGO/25, DEZ/25

==================================================
RESUMO DAS VARIAÇÕES
==================================================
ABR_25: Média de pontuação = 57.53
AGO_25: Média de pontuação = 58.70
DEZ_25: Média de pontuação = 58.75

% de crescimento entre 2025-04 e 2025-08: 2.48%
% de crescimento entre 2025-08 e 2025-12: 0.34%

Crescimento total médio: 2.80%

==================================================
TOP 5 - MAIOR CRESCIMENTO
==================================================
  ESF 57 - CEU AZUL (INE: 0002533219): 100.00%
  EQUIPE 05 - AZUL (INE: 0001669109): 70.87%
  EQUIPE 2 (INE: 0000468479): 70.84%
  EQUIPE 3 LAGO SUL (INE: 0002504723): 55.10%
  ESF 38 ROSA - UBS 08 SAM (INE: 0000471011): 53.72%

==================================================
TOP 5 - MENOR CRESCIMENTO
==================================================
  ESF 0352/16 - CEP SAUDE (INE: 0000469866): -21.44%
  0538/21 (INE: 0001668579): -20.83%
  ESF EQ 11 - VERDE (INE: 0001668951): -19.23%
  ESF 09 ROSA - UBS 01 VP (INE: 0002347229): -19.17%
  ESF 06 AMARELA - UBS 01 VP (INE: 0001805568): -19.10%


==================================================
DADOS COMPLETOS
==================================================

ESTABELECIMENTO;INE;NOME DA EQUIPE;PONT_ABR_25;PONT_AGO_25;PONT_DEZ_25;VAR_1_2_%;VAR_2_3_%;CRESCIMENTO_TOTAL_%
UBS 2 GAMA;0000468932;0208/06;61.96;60.19;58.89;-2.86;-2.16;-4.95
UBS 01 RECANTO DAS EMAS;0001635468;ESF 56 VERDE - UBS 01 REC;54.7;51.82;56.28;-5.27;8.61;2.89
UBS 19 PLANALTINA;0001616455;ESF 0348/28 - SUCUPIRA - PL;60.19;62.79;66.51;4.32;5.92;10.5
UBS 18 PLANALTINA;0002406527;ESF 2013/55-FLOR DO CERRADO-PL;46.9;50.87;49.26;8.46;-3.16;5.03
UBS 3 GAMA;0001617788;0219/34;67.31;68.16;66.57;1.26;-2.33;-1.1
UBS 06 TAGUATINGA;0001641905;ESF 02 VERMELHA - UBS 06 TAG;47.97;53.28;51.52;11.07;-3.3;7.4
UBS 4 PLANALTINA;0000469920;ESF 0367/31 - LARANJA;49.78;57.82;59.52;16.15;2.94;19.57
UBS 5 GAMA;0001618873;0221/37;62.8;65.7;65.73;4.62;0.05;4.67
UBS 10 CEILANDIA;0001600060;EQUIPE 3 - ROSA;47.52;51.2;48.88;7.74;-4.53;2.86
UBS 4 JARDIM II PARANOA;0000469378;ESF EQ 02 - JARDIM II;51.67;53.52;53.31;3.58;-0.39;3.17
UBS 06 SAMAMBAIA;0001487493;ESF 25 AZUL - UBS 06 SAM;52.93;55.65;50.74;5.14;-8.82;-4.14
UBS 12 CEILANDIA;0000468649;EQUIPE 1 - MARROM;61.23;61.07;61.64;-0.26;0.93;0.67
UBS 02 GUARA;0001670492;ESF 06 - UBS 02 GUARA;64.3;67.24;66.28;4.57;-1.43;3.08
UBS 1 ASA NORTE;0001670069;EQUIPE AGUA;47.88;45.37;50.61;-5.24;11.55;5.7
UBS 01 RIACHO FUNDO I;0001800272;ESF 07 - UBS 01 RIACHO FUNDO I;58.42;61.78;60.21;5.75;-2.54;3.06
UBS 01 SAMAMBAIA;0000470511;ESF 15 ROXA - UBS 01 SAM;54.31;51.92;45.0;-4.4;-13.33;-17.14
UBS 6 ARAPOANGA PLANALTINA;0000469807;ESF 0363/27 - JOAO-DE-BARRO-PL;65.02;65.94;63.87;1.41;-3.14;-1.77
UBS 7 SANTA MARIA;0001668617;0542/25;65.07;66.94;67.87;2.87;1.39;4.3
UBS 07 SAMAMBAIA;0001621378;ESF 14 ROSA - UBS 07 SAM;60.93;57.14;53.23;-6.22;-6.84;-12.64
